Date;Victim Sex;Total Shootings
26-Sep-07;M;2
27-Sep-07;F;1
27-Sep-07;M;2
28-Sep-07;M;2
29-Sep-07;M;8
30-Sep-07;M;6
01-Oct-07;F;1
01-Oct-07;M;4
02-Oct-07;M;4
03-Oct-07;M;4
03-Oct-07;U;1
04-Oct-07;M;1
05-Oct-07;M;3
06-Oct-07;M;22
07-Oct-07;M;11
08-Oct-07;M;8
09-Oct-07;M;4
10-Oct-07;M;5
11-Oct-07;M;3
12-Oct-07;F;4
12-Oct-07;M;7
13-Oct-07;M;6
14-Oct-07;M;3
15-Oct-07;M;4
16-Oct-07;F;1
16-Oct-07;M;6
17-Oct-07;M;5
18-Oct-07;F;1
18-Oct-07;M;3
19-Oct-07;F;1
19-Oct-07;M;5
20-Oct-07;M;10
21-Oct-07;F;2
21-Oct-07;M;12
22-Oct-07;M;2
23-Oct-07;M;5
24-Oct-07;M;3
25-Oct-07;F;3
25-Oct-07;M;7
26-Oct-07;M;3
27-Oct-07;M;9
28-Oct-07;M;10
29-Oct-07;M;2
30-Oct-07;M;7
31-Oct-07;M;5
01-Nov-07;M;11
02-Nov-07;M;7
03-Nov-07;M;6
04-Nov-07;F;2
04-Nov-07;M;8
05-Nov-07;M;3
06-Nov-07;M;5
07-Nov-07;M;2
08-Nov-07;M;3
09-Nov-07;F;1
09-Nov-07;M;6
10-Nov-07;M;7
12-Nov-07;M;1
14-Nov-07;M;4
15-Nov-07;M;1
16-Nov-07;M;3
17-Nov-07;M;9
18-Nov-07;F;1
18-Nov-07;M;17
19-Nov-07;M;1
20-Nov-07;M;6
21-Nov-07;M;2
22-Nov-07;M;3
23-Nov-07;M;4
25-Nov-07;F;2
25-Nov-07;M;7
26-Nov-07;M;3
27-Nov-07;M;3
28-Nov-07;F;1
28-Nov-07;M;2
30-Nov-07;M;4
01-Dec-07;F;1
01-Dec-07;M;3
02-Dec-07;M;10
03-Dec-07;M;4
04-Dec-07;M;1
06-Dec-07;M;4
07-Dec-07;M;1
08-Dec-07;F;1
08-Dec-07;M;2
09-Dec-07;F;1
09-Dec-07;M;6
10-Dec-07;M;5
11-Dec-07;M;3
14-Dec-07;M;2
15-Dec-07;F;1
15-Dec-07;M;1
16-Dec-07;F;1
16-Dec-07;M;5
17-Dec-07;F;2
17-Dec-07;M;6
18-Dec-07;M;1
20-Dec-07;F;1
20-Dec-07;M;5
21-Dec-07;F;2
21-Dec-07;M;6
22-Dec-07;M;5
23-Dec-07;M;10
24-Dec-07;M;12
25-Dec-07;F;1
25-Dec-07;M;5
26-Dec-07;M;1
27-Dec-07;M;2
28-Dec-07;M;1
29-Dec-07;M;2
30-Dec-07;F;2
30-Dec-07;M;6
31-Dec-07;F;1
31-Dec-07;M;1
01-Jan-08;F;2
01-Jan-08;M;17
02-Jan-08;M;2
04-Jan-08;M;4
05-Jan-08;F;2
05-Jan-08;M;7
06-Jan-08;M;3
07-Jan-08;F;1
07-Jan-08;M;4
08-Jan-08;M;2
09-Jan-08;M;1
10-Jan-08;M;2
11-Jan-08;M;3
12-Jan-08;M;3
13-Jan-08;M;9
14-Jan-08;M;2
15-Jan-08;F;1
15-Jan-08;M;1
16-Jan-08;M;1
17-Jan-08;M;1
18-Jan-08;M;5
20-Jan-08;M;2
21-Jan-08;M;5
22-Jan-08;M;2
23-Jan-08;M;2
24-Jan-08;M;3
25-Jan-08;M;1
26-Jan-08;M;6
27-Jan-08;M;10
28-Jan-08;M;2
29-Jan-08;M;2
30-Jan-08;F;1
30-Jan-08;M;1
31-Jan-08;M;4
01-Feb-08;M;4
02-Feb-08;M;4
03-Feb-08;M;4
04-Feb-08;M;1
05-Feb-08;F;1
05-Feb-08;M;2
06-Feb-08;M;2
07-Feb-08;M;1
09-Feb-08;M;5
10-Feb-08;F;2
12-Feb-08;M;2
13-Feb-08;M;1
14-Feb-08;M;3
15-Feb-08;M;4
16-Feb-08;M;8
17-Feb-08;M;2
18-Feb-08;M;2
19-Feb-08;M;3
20-Feb-08;M;3
21-Feb-08;M;2
22-Feb-08;M;5
23-Feb-08;M;2
24-Feb-08;M;6
25-Feb-08;M;2
27-Feb-08;M;2
29-Feb-08;F;1
29-Feb-08;M;6
01-Mar-08;M;2
02-Mar-08;F;1
02-Mar-08;M;2
03-Mar-08;F;2
03-Mar-08;M;4
04-Mar-08;M;3
05-Mar-08;M;1
06-Mar-08;M;1
07-Mar-08;M;3
08-Mar-08;F;1
08-Mar-08;M;4
09-Mar-08;M;10
10-Mar-08;F;1
11-Mar-08;M;4
13-Mar-08;M;2
14-Mar-08;F;2
14-Mar-08;M;7
15-Mar-08;M;8
16-Mar-08;M;7
17-Mar-08;M;2
19-Mar-08;F;1
19-Mar-08;M;5
20-Mar-08;M;1
21-Mar-08;M;9
22-Mar-08;M;4
23-Mar-08;F;1
23-Mar-08;M;6
24-Mar-08;M;7
25-Mar-08;F;1
25-Mar-08;M;2
26-Mar-08;M;5
