Date;Borough;Total Shootings
26 Apr 06;BRONX;1
26 Apr 06;BROOKLYN;1
26 Apr 06;MANHATTAN;1
26 Apr 06;QUEENS;4
27 Apr 06;BROOKLYN;1
27 Apr 06;QUEENS;2
28 Apr 06;BRONX;1
28 Apr 06;BROOKLYN;1
28 Apr 06;MANHATTAN;3
28 Apr 06;QUEENS;1
29 Apr 06;BRONX;1
29 Apr 06;BROOKLYN;2
29 Apr 06;MANHATTAN;1
30 Apr 06;BRONX;1
30 Apr 06;BROOKLYN;1
30 Apr 06;STATEN ISLAND;4
01 May 06;BRONX;1
01 May 06;BROOKLYN;4
01 May 06;MANHATTAN;1
01 May 06;QUEENS;1
02 May 06;BROOKLYN;2
02 May 06;QUEENS;1
03 May 06;BRONX;3
03 May 06;MANHATTAN;1
04 May 06;BROOKLYN;3
04 May 06;QUEENS;2
05 May 06;BRONX;2
05 May 06;BROOKLYN;6
05 May 06;MANHATTAN;1
05 May 06;QUEENS;1
06 May 06;BRONX;2
06 May 06;BROOKLYN;2
06 May 06;MANHATTAN;1
07 May 06;BRONX;1
07 May 06;BROOKLYN;10
07 May 06;MANHATTAN;1
07 May 06;QUEENS;3
08 May 06;BRONX;2
08 May 06;BROOKLYN;1
09 May 06;BRONX;1
10 May 06;BRONX;1
10 May 06;BROOKLYN;3
10 May 06;MANHATTAN;1
10 May 06;QUEENS;1
11 May 06;BROOKLYN;2
11 May 06;MANHATTAN;1
11 May 06;QUEENS;1
12 May 06;BROOKLYN;2
13 May 06;BROOKLYN;4
13 May 06;QUEENS;1
14 May 06;BRONX;3
14 May 06;BROOKLYN;1
14 May 06;STATEN ISLAND;1
15 May 06;BRONX;1
15 May 06;MANHATTAN;1
16 May 06;BROOKLYN;1
17 May 06;BRONX;7
18 May 06;BRONX;1
18 May 06;BROOKLYN;3
18 May 06;QUEENS;2
19 May 06;BROOKLYN;1
20 May 06;BRONX;1
20 May 06;BROOKLYN;5
20 May 06;MANHATTAN;3
21 May 06;BRONX;2
21 May 06;BROOKLYN;4
21 May 06;MANHATTAN;1
21 May 06;QUEENS;1
22 May 06;BRONX;3
22 May 06;BROOKLYN;1
22 May 06;QUEENS;1
23 May 06;BRONX;2
23 May 06;BROOKLYN;3
23 May 06;MANHATTAN;8
24 May 06;BROOKLYN;4
24 May 06;MANHATTAN;2
25 May 06;BRONX;1
25 May 06;BROOKLYN;2
25 May 06;MANHATTAN;1
26 May 06;BRONX;3
26 May 06;BROOKLYN;2
26 May 06;QUEENS;1
27 May 06;BROOKLYN;3
27 May 06;MANHATTAN;1
28 May 06;BRONX;3
28 May 06;BROOKLYN;5
28 May 06;QUEENS;2
29 May 06;BRONX;3
29 May 06;BROOKLYN;5
29 May 06;MANHATTAN;2
29 May 06;STATEN ISLAND;1
30 May 06;BRONX;2
30 May 06;BROOKLYN;1
31 May 06;BRONX;1
31 May 06;MANHATTAN;1
01 Jun 06;BRONX;1
01 Jun 06;BROOKLYN;3
02 Jun 06;BRONX;1
02 Jun 06;BROOKLYN;2
02 Jun 06;MANHATTAN;1
03 Jun 06;BRONX;2
03 Jun 06;BROOKLYN;2
03 Jun 06;MANHATTAN;1
03 Jun 06;QUEENS;5
04 Jun 06;BRONX;1
04 Jun 06;BROOKLYN;5
04 Jun 06;MANHATTAN;1
05 Jun 06;BRONX;2
05 Jun 06;BROOKLYN;1
05 Jun 06;STATEN ISLAND;1
06 Jun 06;BRONX;1
06 Jun 06;BROOKLYN;1
07 Jun 06;BRONX;1
07 Jun 06;BROOKLYN;1
07 Jun 06;QUEENS;1
08 Jun 06;BRONX;1
08 Jun 06;QUEENS;2
09 Jun 06;BRONX;2
09 Jun 06;BROOKLYN;1
09 Jun 06;MANHATTAN;1
09 Jun 06;QUEENS;1
10 Jun 06;BRONX;1
10 Jun 06;BROOKLYN;2
10 Jun 06;QUEENS;1
11 Jun 06;BROOKLYN;2
12 Jun 06;BRONX;6
12 Jun 06;BROOKLYN;3
12 Jun 06;MANHATTAN;2
12 Jun 06;QUEENS;1
13 Jun 06;BRONX;1
13 Jun 06;BROOKLYN;4
14 Jun 06;BROOKLYN;4
15 Jun 06;BRONX;1
15 Jun 06;BROOKLYN;2
16 Jun 06;BRONX;1
16 Jun 06;BROOKLYN;1
17 Jun 06;BRONX;1
17 Jun 06;BROOKLYN;3
17 Jun 06;MANHATTAN;2
18 Jun 06;BRONX;1
18 Jun 06;BROOKLYN;9
18 Jun 06;MANHATTAN;5
18 Jun 06;QUEENS;3
19 Jun 06;BRONX;3
19 Jun 06;MANHATTAN;2
19 Jun 06;QUEENS;1
20 Jun 06;BRONX;2
20 Jun 06;BROOKLYN;3
20 Jun 06;MANHATTAN;3
21 Jun 06;BRONX;1
21 Jun 06;BROOKLYN;4
21 Jun 06;QUEENS;1
